Set #,Ensemble,Accuracy,AUC,F1,Precision,Recall,Specificity
46,ET + Ada + LR + KNN,0.8770382250735098,0.8831012747441317,0.8633404598990975,0.8140851918952489,0.9224474474474477,0.8437551020408163
47,ET + Ada + SVM + KNN,0.8758754343758353,0.8824901636330207,0.8623649907215301,0.8102729472718868,0.9252252252252253,0.8397551020408164
48,ET + Per + LR + SVM,0.8735364875701684,0.8801184041184043,0.8598052190459908,0.8073221071852066,0.9225225225225226,0.8377142857142859
49,ET + Per + LR + KNN,0.8700748462977813,0.8764157014157015,0.8559762461041508,0.8047535354356439,0.9171171171171173,0.8357142857142857
50,ET + Per + SVM + KNN,0.8758487035551992,0.8828586443586444,0.8627320436833419,0.8082937206539839,0.9280030030030032,0.8377142857142859
51,ET + LR + SVM + KNN,0.8747126436781609,0.8811012747441318,0.8608664892230286,0.8097502991882631,0.9224474474474477,0.8397551020408164
52,Ada + Per + LR + SVM,0.8723736968724941,0.879118404118404,0.858781431030333,0.8056795951079119,0.9225225225225226,0.8357142857142857
53,Ada + Per + LR + KNN,0.866586474204758,0.8726175154746585,0.8518042673481778,0.8019857215509388,0.9115615615615618,0.8336734693877552
54,Ada + Per + SVM + KNN,0.8746859128575247,0.8818586443586444,0.8617082556676839,0.8066512085766891,0.9280030030030032,0.8357142857142857
55,Ada + LR + SVM + KNN,0.8723870622828122,0.8791012747441318,0.8585879838623315,0.8055065955543155,0.9224474474474477,0.8357551020408163
56,Per + LR + SVM + KNN,0.8746859128575247,0.8818586443586444,0.8617082556676839,0.8066512085766891,0.9280030030030032,0.8357142857142857
57,ET + Ada + Per + LR + SVM,0.8746859128575247,0.8814697554697555,0.8611941079348797,0.8077449401661791,0.9252252252252253,0.8377142857142859
58,ET + Ada + Per + LR + KNN,0.8712242715851376,0.8777670527670528,0.8573573803974215,0.8052366272230834,0.9198198198198199,0.8357142857142857
59,ET + Ada + Per + SVM + KNN,0.8746859128575247,0.8818586443586444,0.8615788905301887,0.8061344763894767,0.9280030030030032,0.8357142857142857
60,ET + Ada + LR + SVM + KNN,0.8747126436781609,0.8811012747441318,0.8608664892230286,0.8097502991882631,0.9224474474474477,0.8397551020408164
61,ET + Per + LR + SVM + KNN,0.8758487035551992,0.8828586443586444,0.8627320436833419,0.8082937206539839,0.9280030030030032,0.8377142857142859
62,Ada + Per + LR + SVM + KNN,0.8746859128575247,0.8818586443586444,0.8617082556676839,0.8066512085766891,0.9280030030030032,0.8357142857142857
63,ET + Ada + Per + LR + SVM + KNN,0.8758487035551992,0.8828586443586444,0.8627320436833419,0.8082937206539839,0.9280030030030032,0.8377142857142859
